newroi,oldroi,category,label,hemisphere
1,10,1,MF,R
2,12,1,MF,R
3,16,1,MF,R
4,52,1,MF,R
5,53,1,MF,R
6,54,1,MF,R
7,56,1,MF,R
8,57,1,MF,R
9,64,1,MF,R
10,65,1,MF,R
11,137,1,MF,L
12,140,1,MF,L
13,145,1,MF,L
14,148,1,MF,L
15,149,1,MF,L
16,150,1,MF,L
17,151,1,MF,L
18,153,1,MF,L
19,156,1,MF,L
20,162,1,MF,L
21,165,1,MF,L
22,183,1,MF,L
23,185,1,MF,L
24,186,1,MF,L
25,187,1,MF,L
26,190,1,MF,L
27,192,1,MF,L
28,194,1,MF,L
29,219,1,MF,L
30,1,2,FP,R
31,4,2,FP,R
32,7,2,FP,R
33,8,2,FP,R
34,9,2,FP,R
35,14,2,FP,R
36,17,2,FP,R
37,19,2,FP,R
38,21,2,FP,R
39,22,2,FP,R
40,30,2,FP,R
41,31,2,FP,R
42,47,2,FP,R
43,48,2,FP,R
44,55,2,FP,R
45,70,2,FP,R
46,111,2,FP,R
47,112,2,FP,R
48,116,2,FP,R
49,139,2,FP,L
50,142,2,FP,L
51,143,2,FP,L
52,147,2,FP,L
53,154,2,FP,L
54,157,2,FP,L
55,164,2,FP,L
56,182,2,FP,L
57,184,2,FP,L
58,193,2,FP,L
59,196,2,FP,L
60,199,2,FP,L
61,242,2,FP,L
62,246,2,FP,L
63,247,2,FP,L
64,3,3,DMN,R
65,5,3,DMN,R
66,6,3,DMN,R
67,13,3,DMN,R
68,49,3,DMN,R
69,50,3,DMN,R
70,85,3,DMN,R
71,86,3,DMN,R
72,90,3,DMN,R
73,96,3,DMN,R
74,115,3,DMN,R
75,134,3,DMN,L
76,138,3,DMN,L
77,141,3,DMN,L
78,203,3,DMN,L
79,222,3,DMN,L
80,223,3,DMN,L
81,225,3,DMN,L
82,227,3,DMN,L
83,239,3,DMN,L
84,23,4,Mot,R
85,24,4,Mot,R
86,25,4,Mot,R
87,26,4,Mot,R
88,27,4,Mot,R
89,33,4,Mot,R
90,34,4,Mot,R
91,35,4,Mot,R
92,37,4,Mot,R
93,38,4,Mot,R
94,39,4,Mot,R
95,40,4,Mot,R
96,45,4,Mot,R
97,46,4,Mot,R
98,51,4,Mot,R
99,58,4,Mot,R
100,60,4,Mot,R
101,61,4,Mot,R
102,62,4,Mot,R
103,63,4,Mot,R
104,84,4,Mot,R
105,89,4,Mot,R
106,92,4,Mot,R
107,97,4,Mot,R
108,109,4,Mot,R
109,158,4,Mot,L
110,159,4,Mot,L
111,160,4,Mot,L
112,161,4,Mot,L
113,163,4,Mot,L
114,166,4,Mot,L
115,167,4,Mot,L
116,168,4,Mot,L
117,170,4,Mot,L
118,171,4,Mot,L
119,172,4,Mot,L
120,173,4,Mot,L
121,174,4,Mot,L
122,179,4,Mot,L
123,180,4,Mot,L
124,181,4,Mot,L
125,188,4,Mot,L
126,189,4,Mot,L
127,191,4,Mot,L
128,195,4,Mot,L
129,197,4,Mot,L
130,202,4,Mot,L
131,218,4,Mot,L
132,228,4,Mot,L
133,235,4,Mot,L
134,42,5,VI,R
135,68,5,VI,R
136,72,5,VI,R
137,75,5,VI,R
138,77,5,VI,R
139,79,5,VI,R
140,80,5,VI,R
141,82,5,VI,R
142,87,5,VI,R
143,98,5,VI,R
144,176,5,VI,L
145,198,5,VI,L
146,205,5,VI,L
147,207,5,VI,L
148,208,5,VI,L
149,211,5,VI,L
150,215,5,VI,L
151,216,5,VI,L
152,76,6,VII,R
153,78,6,VII,R
154,81,6,VII,R
155,100,6,VII,R
156,102,6,VII,R
157,212,6,VII,L
158,213,6,VII,L
159,214,6,VII,L
160,241,6,VII,L
161,41,7,VAs,R
162,43,7,VAs,R
163,59,7,VAs,R
164,66,7,VAs,R
165,67,7,VAs,R
166,69,7,VAs,R
167,71,7,VAs,R
168,73,7,VAs,R
169,74,7,VAs,R
170,175,7,VAs,L
171,177,7,VAs,L
172,200,7,VAs,L
173,201,7,VAs,L
174,204,7,VAs,L
175,206,7,VAs,L
176,209,7,VAs,L
177,210,7,VAs,L
178,240,7,VAs,L
179,2,8,SAL,R
180,11,8,SAL,R
181,15,8,SAL,R
182,18,8,SAL,R
183,20,8,SAL,R
184,28,8,SAL,R
185,29,8,SAL,R
186,32,8,SAL,R
187,36,8,SAL,R
188,44,8,SAL,R
189,83,8,SAL,R
190,88,8,SAL,R
191,91,8,SAL,R
192,110,8,SAL,R
193,119,8,SAL,R
194,135,8,SAL,L
195,136,8,SAL,L
196,144,8,SAL,L
197,146,8,SAL,L
198,152,8,SAL,L
199,155,8,SAL,L
200,169,8,SAL,L
201,178,8,SAL,L
202,220,8,SAL,L
203,221,8,SAL,L
204,224,8,SAL,L
205,226,8,SAL,L
206,244,8,SAL,L
207,245,8,SAL,L
208,251,8,SAL,L
209,93,9,SC,R
210,94,9,SC,R
211,95,9,SC,R
212,99,9,SC,R
213,120,9,SC,R
214,121,9,SC,R
215,122,9,SC,R
216,123,9,SC,R
217,124,9,SC,R
218,125,9,SC,R
219,126,9,SC,R
220,127,9,SC,R
221,128,9,SC,R
222,217,9,SC,L
223,229,9,SC,L
224,230,9,SC,L
225,231,9,SC,L
226,232,9,SC,L
227,233,9,SC,L
228,234,9,SC,L
229,257,9,SC,L
230,258,9,SC,L
231,259,9,SC,L
232,260,9,SC,L
233,261,9,SC,L
234,262,9,SC,L
235,263,9,SC,L
236,264,9,SC,L
237,265,9,SC,L
238,101,10,CBL,R
239,103,10,CBL,R
240,104,10,CBL,R
241,105,10,CBL,R
242,106,10,CBL,R
243,107,10,CBL,R
244,108,10,CBL,R
245,113,10,CBL,R
246,114,10,CBL,R
247,117,10,CBL,R
248,118,10,CBL,R
249,129,10,CBL,R
250,130,10,CBL,R
251,131,10,CBL,R
252,132,10,CBL,R
253,133,10,CBL,R
254,236,10,CBL,L
255,237,10,CBL,L
256,238,10,CBL,L
257,243,10,CBL,L
258,248,10,CBL,L
259,249,10,CBL,L
260,250,10,CBL,L
261,252,10,CBL,L
262,253,10,CBL,L
263,254,10,CBL,L
264,255,10,CBL,L
