"name","dataset","map_type","stat_type","var1","var2"
"ABCD.fc.r.rest.age","ABCD","fc","r","rest","age"
"ABCD.fc.r.rest.bmi","ABCD","fc","r","rest","bmi"
"ABCD.fc.r.rest.iq","ABCD","fc","r","rest","iq"
"ABCD.fc.t.nback.rest","ABCD","fc","t","nback","rest"
"ABCD.fc.t.SST.rest","ABCD","fc","t","SST","rest"
"ABCD.fc.t2.femalerest.malerest","ABCD","fc","t2","femalerest","malerest"
"hbn.fc.r.rest.evt","hbn","fc","r","rest","evt"
"hbn.fc.r.rest.nihtoolbox","hbn","fc","r","rest","nihtoolbox"
"hbn.fc.r.rest.ppvt","hbn","fc","r","rest","ppvt"
"hbn.fc.r.rest.srs","hbn","fc","r","rest","srs"
"hbn.fc.t2.rest.diagrest-nodiagrest","hbn","fc","t2","rest","diagrest-nodiagrest"
"hcp.ep.fc.t2.patientrest.controlrest","hcp","ep","fc","t2","patientrest"
"hcp.fc.d.emotion.rest","hcp","fc","d","emotion","rest"
"hcp.fc.d.gambling.rest","hcp","fc","d","gambling","rest"
"hcp.fc.d.language.rest","hcp","fc","d","language","rest"
"hcp.fc.d.motor.rest","hcp","fc","d","motor","rest"
"hcp.fc.d.relational.rest","hcp","fc","d","relational","rest"
"hcp.fc.d.social.rest","hcp","fc","d","social","rest"
"hcp.fc.d.wm.rest","hcp","fc","d","wm","rest"
"hcp.fc.r.rest.age","hcp","fc","r","rest","age"
"hcp.fc.r.rest.gf","hcp","fc","r","rest","gf"
"hcp.fc.t2.femalerest.malerest","hcp","fc","t2","femalerest","malerest"
"IMAGEN.fc.t2.femaleSST.maleSST","IMAGEN","fc","t2","femaleSST","maleSST"
"pnc.fc.r.rest.age","pnc","fc","r","rest","age"
"pnc.fc.r.rest.lnbxacc","pnc","fc","r","rest","lnbxacc"
"pnc.fc.r.rest.lnbxrt","pnc","fc","r","rest","lnbxrt"
"pnc.fc.r.rest.pfmtxacc","pnc","fc","r","rest","pfmtxacc"
"pnc.fc.r.rest.pfmtxrt","pnc","fc","r","rest","pfmtxrt"
"pnc.fc.r.rest.pmatxrc","pnc","fc","r","rest","pmatxrc"
"pnc.fc.r.rest.pvrtxacc","pnc","fc","r","rest","pvrtxacc"
"pnc.fc.r.rest.pvrtxrt","pnc","fc","r","rest","pvrtxrt"
"pnc.fc.r.rest.pwmtxacc","pnc","fc","r","rest","pwmtxacc"
"pnc.fc.r.rest.pwmtxrt","pnc","fc","r","rest","pwmtxrt"
"pnc.fc.r.rest.wrat","pnc","fc","r","rest","wrat"
"pnc.fc.t2.malerest.femalerest","pnc","fc","t2","malerest","femalerest"
"SLIM.fc.r.rest.StateAnxiety","SLIM","fc","r","rest","StateAnxiety"
"SLIM.fc.r.rest.TraitAnxiety","SLIM","fc","r","rest","TraitAnxiety"
"SLIM.fc.t2.femalerest.malerest","SLIM","fc","t2","femalerest","malerest"
"ukb.fc.r.rest.age","ukb","fc","r","rest","age"
"ukb.fc.r.rest.gF","ukb","fc","r","rest","gF"
"ukb.fc.r.rest.memory","ukb","fc","r","rest","memory"
"ukb.fc.t2.malerest.femalerest","ukb","fc","t2","malerest","femalerest"
"hcp.act.d.emotion.rest","hcp","act","d","emotion","rest"
"hcp.act.d.gambling.rest","hcp","act","d","gambling","rest"
"hcp.act.d.relational.rest","hcp","act","d","relational","rest"
"hcp.act.d.social.rest","hcp","act","d","social","rest"
"hcp.act.d.wm.rest","hcp","act","d","wm","rest"
